image,true_class,true_toxicity,model,llm,pred_class,confidence,risk_level,flagged
Amanita augusta_191.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.9957,MODERATE,False
Amanita augusta_191.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.9999,MODERATE,False
Amanita augusta_191.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.9999,HIGH,True
Amanita augusta_191.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.9999,MODERATE,False
Amanita augusta_191.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.9412,MODERATE,False
Amanita augusta_191.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.9412,HIGH,True
Amanita augusta_191.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.9412,MODERATE,False
Amanita augusta_220.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.9573,MODERATE,False
Amanita augusta_220.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.9573,HIGH,True
Amanita augusta_220.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.9573,MODERATE,False
Amanita augusta_220.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.9908,MODERATE,False
Amanita augusta_220.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.9908,HIGH,True
Amanita augusta_220.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.9908,MODERATE,False
Amanita augusta_220.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.7669,MODERATE,False
Amanita augusta_220.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.7669,HIGH,True
Amanita augusta_220.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.7669,MODERATE,False
Amanita augusta_331.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita persicina,0.4973,HIGH,True
Amanita augusta_331.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita persicina,0.4973,HIGH,True
Amanita augusta_331.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita persicina,0.4973,HIGH,True
Amanita augusta_331.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.3122,HIGH,True
Amanita augusta_331.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.3122,HIGH,True
Amanita augusta_331.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.3122,HIGH,True
Amanita augusta_331.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.677,HIGH,True
Amanita augusta_331.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.677,HIGH,True
Amanita augusta_331.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.677,HIGH,True
Amanita augusta_265.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.996,MODERATE,False
Amanita augusta_265.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.996,HIGH,True
Amanita augusta_265.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.996,MODERATE,False
Amanita augusta_265.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.9999,MODERATE,False
Amanita augusta_265.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.9999,HIGH,True
Amanita augusta_265.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.9999,MODERATE,False
Amanita augusta_265.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.7045,MODERATE,False
Amanita augusta_265.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.7045,HIGH,True
Amanita augusta_265.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.7045,MODERATE,False
Amanita augusta_178.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.9999,MODERATE,False
Amanita augusta_178.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.9999,HIGH,True
Amanita augusta_178.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.9999,MODERATE,False
Amanita augusta_178.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,1.0,MODERATE,False
Amanita augusta_178.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,1.0,MODERATE,False
Amanita augusta_178.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,1.0,MODERATE,False
Amanita augusta_178.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.9414,MODERATE,False
Amanita augusta_178.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.9414,HIGH,True
Amanita augusta_178.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.9414,MODERATE,False
Amanita augusta_47.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.6606,HIGH,True
Amanita augusta_47.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.6606,HIGH,True
Amanita augusta_47.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.6606,HIGH,True
Amanita augusta_47.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.9341,MODERATE,False
Amanita augusta_47.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.9341,HIGH,True
Amanita augusta_47.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.9341,MODERATE,False
Amanita augusta_47.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita flavoconia,0.4973,HIGH,True
Amanita augusta_47.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita flavoconia,0.4973,HIGH,True
Amanita augusta_47.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita flavoconia,0.4973,HIGH,True
Amanita augusta_240.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.4212,HIGH,True
Amanita augusta_240.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.4212,HIGH,True
Amanita augusta_240.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.4212,HIGH,True
Amanita augusta_240.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita calyptroderma,0.5911,HIGH,True
Amanita augusta_240.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita calyptroderma,0.5911,HIGH,True
Amanita augusta_240.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita calyptroderma,0.5911,HIGH,True
Amanita augusta_240.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.3419,HIGH,True
Amanita augusta_240.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.3419,HIGH,True
Amanita augusta_240.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.3419,HIGH,True
Amanita augusta_107.jpg,Amanita augusta,Toxic,YOLOv8n,none,Stropharia ambigua,0.9041,LOW,False
Amanita augusta_107.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Stropharia ambigua,0.9041,HIGH,True
Amanita augusta_107.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Stropharia ambigua,0.9041,LOW,False
Amanita augusta_107.jpg,Amanita augusta,Toxic,YOLOv26n,none,Stropharia ambigua,0.6445,HIGH,True
Amanita augusta_107.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Stropharia ambigua,0.6445,HIGH,True
Amanita augusta_107.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Stropharia ambigua,0.6445,HIGH,True
Amanita augusta_107.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.5315,HIGH,True
Amanita augusta_107.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.5315,HIGH,True
Amanita augusta_107.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.5315,HIGH,True
Amanita augusta_129.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.9566,MODERATE,False
Amanita augusta_129.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.9566,HIGH,True
Amanita augusta_129.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.9566,MODERATE,False
Amanita augusta_129.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.9649,MODERATE,False
Amanita augusta_129.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.9649,HIGH,True
Amanita augusta_129.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.9649,MODERATE,False
Amanita augusta_129.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.9439,MODERATE,False
Amanita augusta_129.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.9439,HIGH,True
Amanita augusta_129.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.9439,MODERATE,False
Amanita augusta_285.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.9765,MODERATE,False
Amanita augusta_285.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.9765,HIGH,True
Amanita augusta_285.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.9765,MODERATE,False
Amanita augusta_285.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.998,MODERATE,False
Amanita augusta_285.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.998,HIGH,True
Amanita augusta_285.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.998,MODERATE,False
Amanita augusta_285.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.9113,MODERATE,False
Amanita augusta_285.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.9113,HIGH,True
Amanita augusta_285.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.9113,MODERATE,False
Amanita augusta_276.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.5903,HIGH,True
Amanita augusta_276.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.5903,HIGH,True
Amanita augusta_276.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.5903,HIGH,True
Amanita augusta_276.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.9718,MODERATE,False
Amanita augusta_276.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.9718,HIGH,True
Amanita augusta_276.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.9718,MODERATE,False
Amanita augusta_276.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.6493,HIGH,True
Amanita augusta_276.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.6493,HIGH,True
Amanita augusta_276.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.6493,HIGH,True
Amanita augusta_149.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.9998,MODERATE,False
Amanita augusta_149.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.9998,HIGH,True
Amanita augusta_149.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.9998,MODERATE,False
Amanita augusta_149.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.9998,MODERATE,False
Amanita augusta_149.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.9998,HIGH,True
Amanita augusta_149.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.9998,MODERATE,False
Amanita augusta_149.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.9671,MODERATE,False
Amanita augusta_149.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.9671,HIGH,True
Amanita augusta_149.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.9671,MODERATE,False
Amanita augusta_153.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita amerirubescens,0.5936,HIGH,True
Amanita augusta_153.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita amerirubescens,0.5936,HIGH,True
Amanita augusta_153.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita amerirubescens,0.5936,HIGH,True
Amanita augusta_153.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita amerirubescens,0.9542,LOW,False
Amanita augusta_153.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita amerirubescens,0.9542,LOW,False
Amanita augusta_153.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita amerirubescens,0.9542,LOW,False
Amanita augusta_153.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita amerirubescens,0.5453,HIGH,True
Amanita augusta_153.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita amerirubescens,0.5453,HIGH,True
Amanita augusta_153.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita amerirubescens,0.5453,HIGH,True
Amanita augusta_242.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.9831,MODERATE,False
Amanita augusta_242.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.9831,HIGH,True
Amanita augusta_242.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.9831,MODERATE,False
Amanita augusta_242.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.8825,MODERATE,False
Amanita augusta_242.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.8825,HIGH,True
Amanita augusta_242.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.8825,MODERATE,False
Amanita augusta_242.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.9123,MODERATE,False
Amanita augusta_242.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.9123,HIGH,True
Amanita augusta_242.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.9123,MODERATE,False
Amanita augusta_53.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.9377,MODERATE,False
Amanita augusta_53.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.9377,HIGH,True
Amanita augusta_53.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.9377,MODERATE,False
Amanita augusta_53.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.686,HIGH,True
Amanita augusta_53.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.686,HIGH,True
Amanita augusta_53.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.686,HIGH,True
Amanita augusta_53.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.8509,MODERATE,False
Amanita augusta_53.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.8509,HIGH,True
Amanita augusta_53.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.8509,MODERATE,False
Amanita augusta_75.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.9403,MODERATE,False
Amanita augusta_75.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.9403,HIGH,True
Amanita augusta_75.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.9403,MODERATE,False
Amanita augusta_75.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.7298,MODERATE,False
Amanita augusta_75.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.7298,HIGH,True
Amanita augusta_75.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.7298,MODERATE,False
Amanita augusta_75.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.6595,HIGH,True
Amanita augusta_75.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.6595,HIGH,True
Amanita augusta_75.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.6595,HIGH,True
Amanita augusta_268.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita augusta,0.9991,MODERATE,False
Amanita augusta_268.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita augusta,0.9991,HIGH,True
Amanita augusta_268.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita augusta,0.9991,MODERATE,False
Amanita augusta_268.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita augusta,0.9928,MODERATE,False
Amanita augusta_268.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita augusta,0.9928,HIGH,True
Amanita augusta_268.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita augusta,0.9928,MODERATE,False
Amanita augusta_268.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Amanita augusta,0.9129,MODERATE,False
Amanita augusta_268.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Amanita augusta,0.9129,HIGH,True
Amanita augusta_268.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Amanita augusta,0.9129,MODERATE,False
Amanita augusta_31.jpg,Amanita augusta,Toxic,YOLOv8n,none,Amanita pantherina,0.9793,CRITICAL,True
Amanita augusta_31.jpg,Amanita augusta,Toxic,YOLOv8n,llama,Amanita pantherina,0.9793,CRITICAL,True
Amanita augusta_31.jpg,Amanita augusta,Toxic,YOLOv8n,gemma,Amanita pantherina,0.9793,CRITICAL,True
Amanita augusta_31.jpg,Amanita augusta,Toxic,YOLOv26n,none,Amanita pantherina,0.778,CRITICAL,True
Amanita augusta_31.jpg,Amanita augusta,Toxic,YOLOv26n,llama,Amanita pantherina,0.778,CRITICAL,True
Amanita augusta_31.jpg,Amanita augusta,Toxic,YOLOv26n,gemma,Amanita pantherina,0.778,CRITICAL,True
Amanita augusta_31.jpg,Amanita augusta,Toxic,EfficientNet-B0,none,Suillus luteus,0.1514,HIGH,True
Amanita augusta_31.jpg,Amanita augusta,Toxic,EfficientNet-B0,llama,Suillus luteus,0.1514,HIGH,True
Amanita augusta_31.jpg,Amanita augusta,Toxic,EfficientNet-B0,gemma,Suillus luteus,0.1514,HIGH,True
Amanita brunnescens_268.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Amanita brunnescens,0.6658,HIGH,True
Amanita brunnescens_268.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Amanita brunnescens,0.6658,HIGH,True
Amanita brunnescens_268.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Amanita brunnescens,0.6658,HIGH,True
Amanita brunnescens_268.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.8466,MODERATE,False
Amanita brunnescens_268.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.8466,HIGH,True
Amanita brunnescens_268.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.8466,MODERATE,False
Amanita brunnescens_268.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.5319,HIGH,True
Amanita brunnescens_268.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.5319,HIGH,True
Amanita brunnescens_268.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.5319,HIGH,True
Amanita brunnescens_267.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Amanita brunnescens,0.6188,HIGH,True
Amanita brunnescens_267.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Amanita brunnescens,0.6188,HIGH,True
Amanita brunnescens_267.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Amanita brunnescens,0.6188,HIGH,True
Amanita brunnescens_267.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.9937,MODERATE,False
Amanita brunnescens_267.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.9937,HIGH,True
Amanita brunnescens_267.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.9937,MODERATE,False
Amanita brunnescens_267.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.8385,MODERATE,False
Amanita brunnescens_267.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.8385,HIGH,True
Amanita brunnescens_267.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.8385,MODERATE,False
Amanita brunnescens_87.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Amanita brunnescens,0.9981,MODERATE,False
Amanita brunnescens_87.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Amanita brunnescens,0.9981,HIGH,True
Amanita brunnescens_87.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Amanita brunnescens,0.9981,MODERATE,False
Amanita brunnescens_87.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.9977,MODERATE,False
Amanita brunnescens_87.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.9977,HIGH,True
Amanita brunnescens_87.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.9977,MODERATE,False
Amanita brunnescens_87.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.7803,MODERATE,False
Amanita brunnescens_87.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.7803,MODERATE,False
Amanita brunnescens_87.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.7803,MODERATE,False
Amanita brunnescens_252.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Clitocybe nebularis,0.404,HIGH,True
Amanita brunnescens_252.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Clitocybe nebularis,0.404,HIGH,True
Amanita brunnescens_252.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Clitocybe nebularis,0.404,HIGH,True
Amanita brunnescens_252.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.6237,HIGH,True
Amanita brunnescens_252.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.6237,HIGH,True
Amanita brunnescens_252.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.6237,HIGH,True
Amanita brunnescens_252.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.5576,HIGH,True
Amanita brunnescens_252.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.5576,HIGH,True
Amanita brunnescens_252.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.5576,HIGH,True
Amanita brunnescens_283.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Amanita brunnescens,0.9944,MODERATE,False
Amanita brunnescens_283.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Amanita brunnescens,0.9944,HIGH,True
Amanita brunnescens_283.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Amanita brunnescens,0.9944,MODERATE,False
Amanita brunnescens_283.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.9994,MODERATE,False
Amanita brunnescens_283.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.9994,MODERATE,False
Amanita brunnescens_283.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.9994,MODERATE,False
Amanita brunnescens_283.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.9593,MODERATE,False
Amanita brunnescens_283.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.9593,MODERATE,False
Amanita brunnescens_283.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.9593,MODERATE,False
Amanita brunnescens_26.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Boletus pallidus,0.6147,HIGH,True
Amanita brunnescens_26.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Boletus pallidus,0.6147,HIGH,True
Amanita brunnescens_26.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Boletus pallidus,0.6147,HIGH,True
Amanita brunnescens_26.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.9915,MODERATE,False
Amanita brunnescens_26.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.9915,HIGH,True
Amanita brunnescens_26.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.9915,MODERATE,False
Amanita brunnescens_26.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.8586,MODERATE,False
Amanita brunnescens_26.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.8586,MODERATE,False
Amanita brunnescens_26.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.8586,MODERATE,False
Amanita brunnescens_178.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Amanita brunnescens,0.9999,MODERATE,False
Amanita brunnescens_178.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Amanita brunnescens,0.9999,HIGH,True
Amanita brunnescens_178.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Amanita brunnescens,0.9999,MODERATE,False
Amanita brunnescens_178.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.9994,MODERATE,False
Amanita brunnescens_178.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.9994,HIGH,True
Amanita brunnescens_178.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.9994,MODERATE,False
Amanita brunnescens_178.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.9812,MODERATE,False
Amanita brunnescens_178.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.9812,HIGH,True
Amanita brunnescens_178.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.9812,MODERATE,False
Amanita brunnescens_129.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Amanita brunnescens,0.9942,MODERATE,False
Amanita brunnescens_129.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Amanita brunnescens,0.9942,HIGH,True
Amanita brunnescens_129.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Amanita brunnescens,0.9942,MODERATE,False
Amanita brunnescens_129.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.989,MODERATE,False
Amanita brunnescens_129.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.989,HIGH,True
